Address|DonorName|Date|Time|Amount|Type|VolunteerID
1,23, Lakeshore Boulevard,SE,M8V 1A1, Etobicoke,Ontario|Alice Brown|2024-05-15|9:30 AM|120|Check|2
4,26, Royal York Road,W,M9A 4D4, Etobicoke,Ontario|Bob Green|2024-05-17|12:42 PM|72|Credit|2
7,89, Kipling Avenue,SE,M9B 3C3, Etobicoke,Ontario|Carol White|2024-05-21|3:20 PM|60|Check|2
1,01, Islington Avenue,W,M9A 4D4, Etobicoke,Ontario|David Black|2024-05-21|6:10 AM|220|Check|2
2,02, Dundas Street,WE,M8X 2E2, Etobicoke,Ontario|Eva Blue|2024-05-29|11:12 AM|82|Check|2
3,03, Bloor Street,E,M8X 6F6, Etobicoke,Ontario|Frank Red|2024-06-03|2:22 PM|92|Check|2
9,4, The Queensway Boulevard,SE,M8X 6F6, Etobicoke,Ontario|Grace Yellow|2024-06-07|2:40 AM|130|Cash|2
10,103, Dixon Road,WE,M9W 8H8, Etobicoke,Ontario|Henry Purple|2024-06-07|8:22 PM|140|Credit|2
12,78, Burnhamthorpe Road,SE,M9C 9I9, Etobicoke,Ontario|Ivy Green|2024-06-06|1:20 PM|110|Check|2
1,10, Rathburn Road,SE,M8V 1A1, Etobicoke,Ontario|Jack Grey|2024-06-06|7:00 PM|70|Check|2
2,30, Evans Avenue,WE,M8Z 2K2, Etobicoke,Ontario|Karen White|2024-06-10|10:02 AM|120|Cash|2
7,10, Albion Road,SE,M8X 6F6, Etobicoke,Ontario|Leo Brown|2024-05-09|10:10 AM|90|Cash|2
10,10, Finch Avenue,SE,M8X 6F6, Etobicoke,Ontario|Mona Black|2024-05-09|2:02 PM|180|Check|2
6,9, Martin Grove Road,W,M9W 2N2, Etobicoke,Ontario|Nancy Green|2024-05-01|6:30 PM|72|Credit|2
2,14, Humber College Boulevard,WE,M9V 6O6, Etobicoke,Ontario|Oscar Blue|2024-06-01|10:02 AM|130|Check|2
