Address|DonorName|Date|Time|Amount|Type|VolunteerID
1,23, Yonge Street,SE,M2N 5P1, North York,Ontario|Emma Brown|2024-06-10|9:00 AM|100|Check|4
45,4, Sheppard Avenue,W,M2N 4R2, North York,Ontario|Liam Smith|2024-06-03|10:30 AM|150|Credit|4
7,89, Bayview Avenue,SE,M2L 1V3, North York,Ontario|Olivia Johnson|2024-06-07|11:45 AM|200|Check|4
1,1001, Don Mills Road,W,M2J 4K4, North York,Ontario|Noah Lee|2024-06-07|1:00 PM|250|Check|4
20,12, Steeles Avenue,WE,M2H 3X5, North York,Ontario|Ava Martinez|2024-06-08|2:15 PM|300|Check|4
3,1003, Finch Avenue,E,M2R 1Y4, North York,Ontario|Sophia Brown|2024-06-04|3:30 PM|350|Check|4
4,1004, Wilson Avenue,SE,M2L 1V3, North York,Ontario|James White|2024-05-23|4:45 PM|400|Cash|4
50,15, Keele Street,WE,M3J 2N8, North York,Ontario|Isabella Green|2024-06-04|4:00 PM|450|Credit|4
4,1804, Jane Street,SE,M2L 1V3, North York,Ontario|Mason Black|2024-05-29|7:15 PM|500|Check|4
7,1707, Weston Road,SE,M2L 1V3, North York,Ontario|Charlotte Garcia|2024-05-07|8:30 PM|550|Check|4
80,18, Bathurst Street,WE,M2J 4K4, North York,Ontario|Elijah Martinez|2024-05-07|9:45 AM|400|Cash|4
9,809, Dufferin Street,SE,M2L 1V3, North York,Ontario|Amelia Rodriguez|2024-06-08|11:00 AM|450|Cash|4
10,110, Victoria Park Avenue,SE,M2J 5P4, North York,Ontario|Ethan Hernandez|2024-06-10|12:15 PM|700|Check|4
1,111, Leslie Street,W,M2N 4R2, North York,Ontario|Mia Walker|2024-05-01|1:30 PM|750|Credit|4
1,212, York Mills Road,WE,M2N 5P1, North York,Ontario|Lucas King|2024-05-14|2:45 PM|800|Check|4
