Address|DonorName|Date|Time|Amount|Type|VolunteerID
1,23, Yonge Street,SE,M5B 2P1, Toronto,Ontario|Emily Johnson|2024-05-05|3:00 AM|100|Check|3
45,6, Bay Street,W,M5J 2B2, Toronto,Ontario|Oliver Smith|2024-05-11|10:30 AM|150|Credit|3
7,83, Queen Street,SE,M5C 2E3, Toronto,Ontario|Sophia Brown|2024-05-17|11:45 AM|200|Check|3
1,01, University Drive,W,M5G 1K4, Toronto,Ontario|James White|2024-05-25|1:00 PM|250|Check|3
2,02, Dundas Drive,WE,M5H 2H5, Toronto,Ontario|Amelia Martinez|2024-05-17|2:15 PM|300|Check|3
30,3, Bloor Street,E,M5R 3J6, Toronto,Ontario|Mason Black|2024-06-01|3:30 PM|350|Check|3
4,04, St. Clair Avenue,SE,M5H 2H5, Toronto,Ontario|Charlotte Garcia|2024-06-05|4:45 PM|400|Cash|3
50,5, Spadina Boulevard,WE,M5B 2P1, Toronto,Ontario|Elijah Martinez|2024-06-03|6:00 PM|450|Credit|3
6,06, King Street West,SE,M5C 2E3, Toronto,Ontario|Ava Green|2024-06-10|7:15 PM|500|Check|3
70,7, Danforth Avenue,SE,M5C 2E3, Toronto,Ontario|Lucas Rodriguez|2024-06-09|8:30 PM|550|Check|3
8,08, Eglinton Avenue,WE,M5B 2P1, Toronto,Ontario|Natalie Hernandez|2024-06-03|3:45 AM|600|Cash|3
30,3, Finch Avenue,SE,M5G 1K4, Toronto,Ontario|Ethan Turner|2024-06-02|11:00 AM|650|Cash|3
1,010, Lawrence Avenue,SE,M5J 2B2, Toronto,Ontario|Mia Walker|2024-05-23|12:15 PM|700|Check|3
11,11, Sheppard Avenue,W,M5H 2H5, Toronto,Ontario|Olivia King|2024-05-25|1:30 PM|750|Credit|3
1,212, Gerrard Drive,WE,M5R 3G6, Toronto,Ontario|Noah Brown|2024-05-11|2:45 PM|800|Check|3
