Address|DonorName|Date|Time|Amount|Type|VolunteerID
3,5, Jane Street,SE,M6M 2B9, York,Ontario|Kartik Patel|2024-05-29|9:30 AM|100|Check|6
15, 20, Black Creek Drive,W,M6N 1A2, York,Ontario|Michael Williams|2024-05-23|12:45 PM|56|Credit|6
2,45, Trethewey Drive,SE,M6L 1B3, York,Ontario|Monica Tucker|2024-05-15|3:20 PM|27|Check|6
1,13, Dufferin Street,W,M6A 1V2, York,Ontario|David Jones|2024-06-03|6:10 AM|250|Check|6
7,35, Rosemount Avenue,WE,M6C 1H8, York,Ontario|John Smith|2024-06-04|11:15 AM|66|Check|6
8,104, Maple Leaf Drive,E,M6E 4Y3, York,Ontario|Mary Johnson|2024-06-09|2:55 PM|20|Check|6
14,07, Beech Street,E,M6E 4Y3, York,Ontario|Robert Davis|2024-06-10|5:40 AM|90|Cash|6
,1, Silverthorn Avenue,WE,M6C 1H8, York,Ontario|Jeff Jolly|2024-06-08|8:25 PM|45|Credit|6
8,22, Oak Street,SE,M6L 1B3, York,Ontario|William Taylor|2024-05-13|1:50 PM|500|Check|6
20,4, Victoria Boulevard,SE,M6M 2B9, York,Ontario|Christopher Lopez|2024-05-17|7:00 PM|85|Check|6
4,14, Lawrence Avenue,W,M6N 1A2, York,Ontario|Jessica Garcia|2024-05-17|10:05 AM|84|Cash|6
,34, Keele Street,SE,M6M 2B9, York,Ontario|Suja Nizam|2024-05-09|10:10 AM|50|Cash|6
3,30,Rogers Road,SE,M6L 1B3, York,Ontario|Pamela Owens|2024-05-14|5:05 PM|54|Check|6
6,31, Caledonia Road,W,M6A 1V2, York,Ontario|John Skinner|2024-05-15|6:30 PM|75|Credit|6
9,, Silverthorn Avenue,WE,M6C 1H8, York,Ontario|David Nunez|2024-05-29|10:05 AM|100|Check|6
